OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,Category,Neighborhood,Popularity_Tier
544,MN,996,46,128 West 44th Street,1009960046,Lambs Club,LP-00859,"Borough of Manhattan Tax Map Block 996, Lot 46.",Designated,,9/24/1974,Individual Landmark,,105,4,40.7564934,-73.9845874,1011900,MN0502,357.3989796,7833.797878,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
486,MN,563,20,34 1/2 East 12th Street,1005630020,Police Athletic League Building,LP-02020,"Borough of Manhattan Tax Map Block 563, Lot 20.",Designated,originally Grammar School 47,9/15/1998,Individual Landmark,,102,2,40.7335096,-73.9923938,1006100,MN0202,401.651357,10330.86281,Commercial,Hell's Kitchen,Tier 4: Neighborhood Staple
483,MN,530,7507,330 Bowery,1005307507,Bond Street Savings Bank,LP-00192,"Borough of Manhattan Tax Map Block 530, Lot 41.",Designated,now the Bouwerie Lane Theatre,1/11/1967,Individual Landmark,,102,2,40.7259094,-73.9923694,1005502,MN0202,273.6560079,2964.03274,Commercial,Upper East Side,Tier 4: Neighborhood Staple
456,MN,1270,34,1 West 54th Street,1012700034,University Club,LP-00263,"Borough of Manhattan Tax Map Block 1270, Lot 34.",Designated,,1/11/1967,Individual Landmark,,105,4,40.7614708,-73.9756737,1010400,MN0502,805.8071256,25191.72014,Other,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
416,MN,871,1,20 Union Square East,1008710001,Union Square Savings Bank,LP-01945,"Borough of Manhattan Tax Map Block 871, Lot 1.",Designated,,2/13/1996,Individual Landmark,,105,2,40.7353072,-73.989377,1005000,MN0602,527.3580506,9946.0235,Commercial,Hell's Kitchen,Tier 4: Neighborhood Staple
392,MN,46,9,14 Wall Street,1000460009,Bankers Trust Building,LP-01949,"Borough of Manhattan Tax Map Block 46, Lot 9.",Designated,14 Wall Street Building,1/14/1997,Individual Landmark,,101,1,40.7076263,-74.0107629,1000700,MN0101,779.7114055,36024.7983,Commercial,Tribeca,Tier 4: Neighborhood Staple
327,MN,866,42,38 East 37th Street,1008660042,Union League Club,LP-02389,"Borough of Manhattan Tax Map Block 866, Lot 42",Designated,,10/25/2011,Individual Landmark,,106,4,40.7489804,-73.9805036,1008200,MN0502,473.0720593,13413.99096,Other,Tribeca,Tier 5: Ultra Niche / Insider Knowledge
306,MN,738,33,81 Eighth Avenue,1007380033,New York Savings Bank,LP-01634,"Borough of Manhattan Tax Map Block 738, Lot 33.",Designated,,6/8/1988,Individual Landmark,,104,3,40.7401219,-74.0027678,1008300,MN0401,474.3437675,9200.680506,Commercial,Harlem,Tier 4: Neighborhood Staple
297,MN,377,72,106 Avenue C,1003770072,Public National Bank of New York Building,LP-02263,"Borough of Manhattan Tax Map Block 377, Lot 72.",Designated,later Public National Bank & Trust Company of New York Building,9/16/2008,Individual Landmark,,103,2,40.7241318,-73.9785952,1002602,MN0303,179.6879362,1975.074762,Commercial,Tribeca,Tier 4: Neighborhood Staple
291,MN,470,61,130 Bowery,1004700061,Bowery Savings Bank,LP-00184,"Borough of Manhattan, Tax Map Block 470, Lot 61.",Designated,,4/19/1966,Individual Landmark,,102,1,40.7188939,-73.995249,1004100,MN0201,623.0058353,16046.57698,Commercial,Tribeca,Tier 4: Neighborhood Staple
